,Unnamed: 0,frame,fname,leye,reye,overall
0,0,0,"5    2504082_output_00001.png
Name: frame, dtype: object",0,0,0
1,1,1,"11    2504082_output_00002.png
Name: frame, dtype: object",0,0,0
2,2,2,"17    2504082_output_00003.png
Name: frame, dtype: object",0,0,0
3,3,3,"23    2504082_output_00004.png
Name: frame, dtype: object",0,0,0
4,4,4,"29    2504082_output_00005.png
Name: frame, dtype: object",0,0,0
5,5,5,"35    2504082_output_00006.png
Name: frame, dtype: object",0,0,0
6,6,6,"41    2504082_output_00007.png
Name: frame, dtype: object",0,0,0
7,7,7,"47    2504082_output_00008.png
Name: frame, dtype: object",0,0,0
8,8,8,"53    2504082_output_00009.png
Name: frame, dtype: object",0,0,0
9,9,9,"59    2504082_output_00010.png
Name: frame, dtype: object",0,0,0
10,10,10,"65    2504082_output_00011.png
Name: frame, dtype: object",0,0,0
11,11,11,"71    2504082_output_00012.png
Name: frame, dtype: object",0,0,0
12,12,12,"77    2504082_output_00013.png
Name: frame, dtype: object",0,0,0
13,13,13,"83    2504082_output_00014.png
Name: frame, dtype: object",0,0,0
14,14,14,"89    2504082_output_00015.png
Name: frame, dtype: object",0,0,0
15,15,15,"95    2504082_output_00016.png
Name: frame, dtype: object",0,0,0
16,16,16,"101    2504082_output_00017.png
Name: frame, dtype: object",0,0,0
17,17,17,"107    2504082_output_00018.png
Name: frame, dtype: object",0,0,0
18,18,18,"113    2504082_output_00019.png
Name: frame, dtype: object",0,0,0
19,19,19,"119    2504082_output_00020.png
Name: frame, dtype: object",0,0,0
20,20,20,"125    2504082_output_00021.png
Name: frame, dtype: object",0,0,0
21,21,21,"131    2504082_output_00022.png
Name: frame, dtype: object",0,0,0
22,22,22,"137    2504082_output_00023.png
Name: frame, dtype: object",0,0,0
23,23,23,"143    2504082_output_00024.png
Name: frame, dtype: object",0,0,0
24,24,24,"149    2504082_output_00025.png
Name: frame, dtype: object",0,0,0
25,25,25,"155    2504082_output_00026.png
Name: frame, dtype: object",99,99,99
26,26,26,"161    2504082_output_00027.png
Name: frame, dtype: object",99,99,99
27,27,27,"167    2504082_output_00028.png
Name: frame, dtype: object",99,99,99
28,28,28,"173    2504082_output_00029.png
Name: frame, dtype: object",0,0,0
29,29,29,"179    2504082_output_00030.png
Name: frame, dtype: object",0,0,0
30,30,30,"185    2504082_output_00031.png
Name: frame, dtype: object",0,0,0
31,31,31,"191    2504082_output_00032.png
Name: frame, dtype: object",0,0,0
32,32,32,"197    2504082_output_00033.png
Name: frame, dtype: object",0,0,0
33,33,33,"203    2504082_output_00034.png
Name: frame, dtype: object",0,0,0
34,34,34,"209    2504082_output_00035.png
Name: frame, dtype: object",0,0,0
35,35,35,"215    2504082_output_00036.png
Name: frame, dtype: object",0,0,0
36,36,36,"221    2504082_output_00037.png
Name: frame, dtype: object",0,0,0
37,37,37,"227    2504082_output_00038.png
Name: frame, dtype: object",0,0,0
38,38,38,"233    2504082_output_00039.png
Name: frame, dtype: object",0,0,0
39,39,39,"239    2504082_output_00040.png
Name: frame, dtype: object",0,0,0
40,40,40,"245    2504082_output_00041.png
Name: frame, dtype: object",0,0,0
41,41,41,"251    2504082_output_00042.png
Name: frame, dtype: object",0,0,0
42,42,42,"257    2504082_output_00043.png
Name: frame, dtype: object",0,0,0
43,43,43,"263    2504082_output_00044.png
Name: frame, dtype: object",0,0,0
44,44,44,"269    2504082_output_00045.png
Name: frame, dtype: object",0,0,0
45,45,45,"275    2504082_output_00046.png
Name: frame, dtype: object",0,0,0
46,46,46,"281    2504082_output_00047.png
Name: frame, dtype: object",0,0,0
47,47,47,"287    2504082_output_00048.png
Name: frame, dtype: object",0,0,0
48,48,48,"293    2504082_output_00049.png
Name: frame, dtype: object",0,0,0
49,49,49,"299    2504082_output_00050.png
Name: frame, dtype: object",0,0,0
50,50,50,"305    2504082_output_00051.png
Name: frame, dtype: object",0,0,0
51,51,51,"311    2504082_output_00052.png
Name: frame, dtype: object",0,0,0
52,52,52,"317    2504082_output_00053.png
Name: frame, dtype: object",0,0,0
53,53,53,"323    2504082_output_00054.png
Name: frame, dtype: object",0,0,0
54,54,54,"329    2504082_output_00055.png
Name: frame, dtype: object",0,0,0
55,55,55,"335    2504082_output_00056.png
Name: frame, dtype: object",0,0,0
56,56,56,"341    2504082_output_00057.png
Name: frame, dtype: object",0,0,0
57,57,57,"347    2504082_output_00058.png
Name: frame, dtype: object",0,0,0
58,58,58,"353    2504082_output_00059.png
Name: frame, dtype: object",0,0,0
59,59,59,"359    2504082_output_00060.png
Name: frame, dtype: object",0,0,0
60,60,60,"365    2504082_output_00061.png
Name: frame, dtype: object",0,0,0
61,61,61,"371    2504082_output_00062.png
Name: frame, dtype: object",0,0,0
62,62,62,"377    2504082_output_00063.png
Name: frame, dtype: object",0,0,0
63,63,63,"383    2504082_output_00064.png
Name: frame, dtype: object",0,0,0
64,64,64,"389    2504082_output_00065.png
Name: frame, dtype: object",0,0,0
65,65,65,"395    2504082_output_00066.png
Name: frame, dtype: object",0,0,0
66,66,66,"401    2504082_output_00067.png
Name: frame, dtype: object",0,0,0
