Phase,event_start,event_end,v_score,h_score
fixation,0,3.01,0,0
moving,3.01,3.043333333,0,0.022727273
moving,3.043333333,3.076666667,0,0.045454545
moving,3.076666667,3.11,0,0.068181818
moving,3.11,3.143333333,0,0.090909091
moving,3.143333333,3.176666667,0,0.113636364
moving,3.176666667,3.21,0,0.136363636
moving,3.21,3.243333333,0,0.159090909
moving,3.243333333,3.276666667,0,0.181818182
moving,3.276666667,3.31,0,0.204545455
moving,3.31,3.343333333,0,0.227272727
moving,3.343333333,3.376666667,0,0.25
moving,3.376666667,3.41,0,0.272727273
moving,3.41,3.443333333,0,0.295454545
moving,3.443333333,3.476666667,0,0.318181818
moving,3.476666667,3.51,0,0.340909091
moving,3.51,3.543333333,0,0.363636364
moving,3.543333333,3.576666667,0,0.386363636
moving,3.576666667,3.61,0,0.409090909
moving,3.61,3.643333333,0,0.431818182
moving,3.643333333,3.676666667,0,0.454545455
moving,3.676666667,3.71,0,0.477272727
moving,3.71,3.743333333,0,0.5
moving,3.743333333,3.776666667,0,0.522727273
moving,3.776666667,3.81,0,0.545454545
moving,3.81,3.843333333,0,0.568181818
moving,3.843333333,3.876666667,0,0.590909091
moving,3.876666667,3.91,0,0.613636364
moving,3.91,3.943333333,0,0.636363636
moving,3.943333333,3.976666667,0,0.659090909
moving,3.976666667,4.01,0,0.681818182
moving,4.01,4.043333333,0,0.704545455
moving,4.043333333,4.076666667,0,0.727272727
moving,4.076666667,4.11,0,0.75
moving,4.11,4.143333333,0,0.772727273
moving,4.143333333,4.176666667,0,0.795454545
moving,4.176666667,4.21,0,0.818181818
moving,4.21,4.243333333,0,0.840909091
moving,4.243333333,4.276666667,0,0.863636364
moving,4.276666667,4.31,0,0.886363636
moving,4.31,4.343333333,0,0.909090909
moving,4.343333333,4.376666667,0,0.931818182
moving,4.376666667,4.41,0,0.954545455
moving,4.41,4.443333333,0,0.977272727
moving,4.411550388,4.4,0,1
left,4.4,5.41,0,1
moving,5.41,5.443333333,0,1
moving,5.443333333,5.476666667,0,0.977272727
moving,5.476666667,5.51,0,0.954545455
moving,5.51,5.543333333,0,0.931818182
moving,5.543333333,5.576666667,0,0.909090909
moving,5.576666667,5.61,0,0.886363636
moving,5.61,5.643333333,0,0.863636364
moving,5.643333333,5.676666667,0,0.840909091
moving,5.676666667,5.71,0,0.818181818
moving,5.71,5.743333333,0,0.795454545
